profileName,esn,deviceType,acctFirstPlaybackDate,acctLastPlaybackDate,acctFirstPlaybackDateForUserGeneratedPlays,acctLastPlaybackDateForUserGeneratedPlays,profileFirstPlaybackDate,profileLastPlaybackDate,profileFirstPlaybackDateForUserGeneratedPlays,profileLastPlaybackDateForUserGeneratedPlays,deactivationTime
Antonio,NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,Sony PS4,2018-11-09 21:31:17.899000,2020-10-27 12:51:35.853000,2019-03-03 12:27:16.233000,2020-10-27 12:51:35.853000,2019-12-30 19:00:40.132000,2020-05-05 18:48:48.877000,,,
Tania,NFCDCH-AP-GARYKZTGKND6V29NU8A9UVMQH21TEH,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Manuel,NFCDCH-02-G9W05EXXRVQNEU7AH1L5Q3C5760UCQ,Chrome PC (Cadmium),2020-04-20 20:09:21.020000,2020-10-29 17:19:44.914000,2020-04-20 20:13:53.244000,2020-10-29 17:19:44.914000,,,,,
Christy,NFCDCH-02-F05D3L2EQM07Y02LWMFW2VEE3HR4UG,Chrome PC (Cadmium),2019-11-01 17:07:02.398000,2020-04-08 23:42:37.829000,2019-11-01 17:08:16.572000,2020-04-08 23:42:37.829000,2020-01-02 14:44:12.020000,2020-04-08 23:42:37.829000,2020-01-02 14:44:12.020000,2020-04-08 23:42:37.829000,
Manuel,NFCDCH-01-G8HNAH2LUAWAK6RRPL3V2R6A3EC8ME,Chrome OS (Cadmium),2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,2020-04-04 09:39:29.222000,
Manuel,WWW-BROWSE-G8HL808KCTAJUYDWHYL3VXXYK7JADF,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Manuel,WWW-BROWSE-G8HJ36HMF5JWMKYNDDNU7LYU9PDV9Q,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Kenzou,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,DefaultWidevineAndroidPhone,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2020-03-26 05:33:04.726000,2020-03-26 05:40:13.743000,2020-03-26 05:33:04.726000,2020-03-26 05:40:13.743000,
Manuel,NFCDCH-02-F05D3L2EQM07Y02LWMFW2VEE3HR4UG,Chrome PC (Cadmium),2019-11-01 17:07:02.398000,2020-04-08 23:42:37.829000,2019-11-01 17:08:16.572000,2020-04-08 23:42:37.829000,2020-03-23 14:54:17.991000,2020-03-23 14:55:43.851000,2020-03-23 14:54:30.123000,2020-03-23 14:55:43.851000,
Kenzou,NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,Netflix Chrome Linux (Cadmium) HTML 5,2019-08-16 09:04:27.750000,2020-05-15 20:32:13.314000,2019-08-16 09:04:36.383000,2020-05-15 19:59:41.515000,2020-03-18 06:31:37.672000,2020-03-23 08:44:32.058000,2020-03-18 06:31:37.672000,2020-03-23 08:28:20.814000,
Antonio,NFANDROID1-PRV-P-L3-HUAWEMAR-LX1M-4445-092E9BAE771B193B81E8C7DDC4E2089360B50A4D46C34782C82716787905C6869,Android DefaultWidevineL3Phone Android Phone,2020-03-01 07:50:47.096000,2020-03-16 16:59:53.871000,2020-03-01 07:50:47.096000,2020-03-16 16:59:53.871000,2020-03-01 07:50:47.096000,2020-03-16 16:59:53.871000,2020-03-01 07:50:47.096000,2020-03-16 16:59:53.871000,
Manuel,HISETVD12600000000000000000000000000966633,Hisense DB MSD6586 4.3 on UHD platform Smart TV,2019-01-12 09:51:46.127000,2020-11-12 19:02:05.274000,2019-01-12 12:57:49.967000,2020-11-11 14:24:45.344000,2019-01-12 09:51:46.127000,2020-03-01 17:24:56.916000,2019-04-06 17:01:22.116000,2020-03-01 16:01:40.229000,
Manuel,NFANDROID1-PRV-P-L3-HUAWEMAR-LX1M-4445-092E9BAE771B193B81E8C7DDC4E2089360B50A4D46C34782C82716787905C6869,Android DefaultWidevineL3Phone Android Phone,2020-03-01 07:50:47.096000,2020-03-16 16:59:53.871000,2020-03-01 07:50:47.096000,2020-03-16 16:59:53.871000,,,,,
Tania,NFCDCH-02-F05D3L2EQM07Y02LWMFW2VEE3HR4UG,Chrome PC (Cadmium),2019-11-01 17:07:02.398000,2020-04-08 23:42:37.829000,2019-11-01 17:08:16.572000,2020-04-08 23:42:37.829000,2019-11-01 17:07:02.398000,2020-02-20 18:28:33.256000,2019-11-01 17:08:16.572000,2020-02-20 18:28:33.256000,
Kenzou,HISETVD12600000000000000000000000000966633,Hisense DB MSD6586 4.3 on UHD platform Smart TV,2019-01-12 09:51:46.127000,2020-11-12 19:02:05.274000,2019-01-12 12:57:49.967000,2020-11-11 14:24:45.344000,2019-09-16 21:07:54.120000,2019-09-16 21:07:54.120000,,,
Manuel,NFCDOP-01-FG2UW7KL94GLQNX79DL0AD2RW1LNXW,Netflix Opera Other,2019-08-16 09:01:32.265000,2019-08-16 09:01:32.265000,,,2019-08-16 09:01:32.265000,2019-08-16 09:01:32.265000,,,
Tania,NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,Sony PS4 Pro,2018-07-04 17:50:12.132000,2020-10-27 20:47:57.946000,2019-01-05 04:22:14.378000,2020-10-27 20:47:57.946000,2019-12-21 18:15:56.193000,2019-12-21 18:59:02.115000,2019-12-21 18:16:19.173000,2019-12-21 18:59:02.115000,
Christy,NFANDROID1-PRV-P-L3-HUAWEHUAWEI=VNS-L22-4445-033761DEEED92B09192A49DFA42C2AE7D1D121EE651529590731C5CF7928609C4,Android DefaultWidevineL3Phone Android Phone,2019-05-07 20:39:36.154000,2019-10-19 20:27:06.560000,2019-05-07 20:39:36.154000,2019-10-19 20:27:06.560000,2019-05-07 20:39:36.154000,2019-10-19 20:27:06.560000,2019-05-07 20:39:36.154000,2019-10-19 20:27:06.560000,
Tania,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,DefaultWidevineAndroidPhone,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2019-09-21 05:21:48.046000,2019-09-21 05:21:48.046000,2019-09-21 05:21:48.046000,2019-09-21 05:21:48.046000,
Antonio,NFCDCH-02-FJJUHZ3UN3Q79MH8W5FNFXQ43608RM,Chrome PC (Cadmium),2019-06-30 16:58:49.429000,2019-07-28 17:58:43.269000,2019-06-30 16:59:04.797000,2019-07-28 17:58:43.269000,2019-06-30 16:58:49.429000,2019-07-28 17:58:43.269000,2019-06-30 16:59:04.797000,2019-07-28 17:58:43.269000,
Christy,NFCDCH-02-FGEA3CRKR1V2ECAQHV60PN7PD34Y9K,Chrome PC (Cadmium),2019-06-22 11:39:53.698000,2019-07-17 08:14:09.234000,2019-06-22 11:39:53.698000,2019-07-17 08:14:09.234000,2019-06-22 11:39:53.698000,2019-07-17 08:14:09.234000,2019-06-22 11:39:53.698000,2019-07-17 08:14:09.234000,
Tania,NFANDROID1-PRV-P-L3-HUAWEWAS-LX1-4445-03AB321619EFFD15D4E411FCEAC4EE87844E8F5BCCE2FF45CF70ABE9548BA996A,Android DefaultWidevineL3Phone Android Phone,2019-06-29 15:56:45.530000,2019-07-01 12:25:22.407000,2019-06-29 15:56:45.530000,2019-07-01 12:25:22.407000,2019-06-29 15:56:45.530000,2019-07-01 12:25:22.407000,2019-06-29 15:56:45.530000,2019-07-01 12:25:22.407000,
Tania,NFANDROID1-PRV-P-L3-HUAWENEXUS=6P-4445-02734C0B9DD45A17FAEF8506DC25C042327CF4B4A2972BC2A46BD984B4B275D76,Android DefaultWidevineL3Phone Android Phone,2019-04-22 22:09:51.234000,2019-06-14 16:04:00.333000,2019-04-22 22:09:51.234000,2019-06-14 16:04:00.333000,2019-06-14 16:04:00.333000,2019-06-14 16:04:00.333000,2019-06-14 16:04:00.333000,2019-06-14 16:04:00.333000,
Tania,NFCDCH-02-FFHAHD6FM75AD738E659J6468PXRQ7,Chrome PC (Cadmium),2019-05-24 17:30:24.775000,2019-05-26 17:52:46.708000,2019-05-24 17:34:01.028000,2019-05-24 17:34:01.028000,2019-05-24 17:30:24.775000,2019-05-26 17:52:46.708000,2019-05-24 17:34:01.028000,2019-05-24 17:34:01.028000,
Manuel,NFANDROID1-PRV-P-L3-HUAWENEXUS=6P-4445-02734C0B9DD45A17FAEF8506DC25C042327CF4B4A2972BC2A46BD984B4B275D76,Android DefaultWidevineL3Phone Android Phone,2019-04-22 22:09:51.234000,2019-06-14 16:04:00.333000,2019-04-22 22:09:51.234000,2019-06-14 16:04:00.333000,2019-04-22 22:09:51.234000,2019-05-01 22:27:26.249000,2019-04-22 22:09:51.234000,2019-05-01 22:27:26.249000,
Christy,HISETVD12600000000000000000000000000966633,Hisense DB MSD6586 4.3 on UHD platform Smart TV,2019-01-12 09:51:46.127000,2020-11-12 19:02:05.274000,2019-01-12 12:57:49.967000,2020-11-11 14:24:45.344000,2019-04-25 11:19:06.927000,2019-04-25 11:19:06.927000,,,
Antonio,NFCDCH-02-EUM3GY25N33AQE8QQHP5JWXT2AW663,Chrome PC (Cadmium),2019-01-30 16:42:29.463000,2019-04-24 22:27:16.683000,2019-01-30 16:42:29.463000,2019-04-24 17:23:46.097000,2019-01-30 16:42:29.463000,2019-04-24 22:27:16.683000,2019-01-30 16:42:29.463000,2019-04-24 17:23:46.097000,
Manuel,NFCDCH-02-EHK1GE1049X57GUWNVV4C85YJN6Y2F,Chrome PC (Cadmium),2018-09-22 20:09:44.344000,2019-01-20 13:37:36.382000,,,2018-09-22 20:09:44.344000,2019-01-20 13:37:36.382000,,,
Manuel,NFCDOP-01-EW3WWLU2HJ4LPMHURUWP1WMM1NE14Y,Netflix Opera Other,2018-10-13 13:34:29.437000,2018-10-21 16:07:30.271000,,,2018-10-13 13:34:29.437000,2018-10-21 16:07:30.271000,,,
Manuel,NFCDCH-01-DVUTGKUMRF4QJKVLWQULN7DYU301MK,Chrome OS (Cadmium),2018-08-05 18:08:17.308000,2018-08-05 18:08:17.308000,,,2018-08-05 18:08:17.308000,2018-08-05 18:08:17.308000,,,
