esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,162.218.95.174,Virginia,2019-10-18 06:25:11.056
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.60,Unknown,2019-10-17 10:31:59.011
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,GH,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,154.65.112.13,Greater Accra,2019-10-16 22:52:17.061
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,162.218.95.174,Virginia,2019-10-16 21:24:27.680
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,DE,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,217.61.111.116,Hesse,2019-10-16 21:14:36.788
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.134,Unknown,2019-10-16 10:41:57.377
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.188.141,Unknown,2019-10-15 16:41:13.500
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.188.141,Unknown,2019-10-15 15:20:09.959
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.140.145,Unknown,2019-10-14 18:28:38.037
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,102.132.140.145,Unknown,2019-10-14 17:30:22.116
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,DE,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,217.61.111.116,Hesse,2019-10-14 17:08:21.915
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.134,Unknown,2019-10-13 16:04:56.308
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.37,Unknown,2019-10-13 10:23:17.224
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.159.85,Washington,2019-10-12 21:19:38.584
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.134.119,Washington,2019-10-12 20:34:23.258
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.148.173,Washington,2019-10-12 20:13:59.310
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.238,Washington,2019-10-11 21:46:43.159
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.137.198,Washington,2019-10-11 21:09:42.248
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.134.102,Washington,2019-10-11 20:00:07.176
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.134.74,Washington,2019-10-11 18:45:09.303
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,64.38.130.204,Washington,2019-10-11 16:26:06.316
