Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Manuel,tvui,movieDetails,,,2020-10-08 17:48:19
Manuel,tvui,browseTitles,,,2020-10-08 17:46:01
Manuel,tvui,search,,,2020-10-08 17:46:01
Manuel,tvui,movieDetails,,,2020-10-08 17:45:57
Manuel,tvui,browseTitles,,,2020-10-08 17:45:57
Manuel,tvui,playback,,,2020-10-08 17:45:56
Manuel,tvui,movieDetails,,,2020-10-08 17:45:56
Manuel,tvui,movieDetails,,,2020-10-08 17:42:16
Manuel,tvui,playback,,,2020-10-08 17:42:16
Manuel,tvui,browseTitles,,,2020-10-08 17:42:13
Manuel,tvui,movieDetails,,,2020-10-08 17:42:13
Manuel,tvui,profilesGate,,,2020-10-08 17:39:53
Manuel,tvui,browseTitles,,,2020-10-08 17:39:53
Manuel,www,profilesGate,,/browse,2020-10-08 17:34:08
Manuel,www,browseTitles,,/browse,2020-10-08 17:34:08
Manuel,tvui,profilesGate,,,2020-10-08 06:39:05
Manuel,tvui,exitDialog,,,2020-10-08 06:35:39
Manuel,tvui,browseTitles,,,2020-10-08 06:35:39
Manuel,tvui,browseTitles,,,2020-10-08 06:35:37
Manuel,tvui,exitDialog,,,2020-10-08 06:35:37
Manuel,tvui,profilesGate,,,2020-10-08 06:30:15
Manuel,tvui,browseTitles,,,2020-10-08 06:30:15
Manuel,tvui,playback,,,2020-10-07 22:32:31
Manuel,tvui,movieDetails,,,2020-10-07 22:32:31
Manuel,tvui,playback,,,2020-10-07 22:12:23
Manuel,tvui,movieDetails,,,2020-10-07 22:12:23
Manuel,tvui,browseTitles,,,2020-10-07 22:12:21
Manuel,tvui,movieDetails,,,2020-10-07 22:12:21
Manuel,tvui,profilesGate,,,2020-10-07 22:12:02
Manuel,tvui,browseTitles,,,2020-10-07 22:12:02
Manuel,tvui,exitDialog,,,2020-10-07 17:09:47
Manuel,tvui,search,,,2020-10-07 17:09:47
Manuel,tvui,search,,,2020-10-07 17:09:44
Manuel,tvui,exitDialog,,,2020-10-07 17:09:44
Manuel,tvui,browseTitles,,,2020-10-07 17:07:19
Manuel,tvui,search,,,2020-10-07 17:07:19
Manuel,tvui,profilesGate,,,2020-10-07 17:07:15
Manuel,tvui,browseTitles,,,2020-10-07 17:07:15
Manuel,tvui,movieDetails,,,2020-10-06 21:42:30
Manuel,tvui,browseTitles,,,2020-10-06 21:42:30
Manuel,tvui,playback,,,2020-10-06 21:42:27
Manuel,tvui,movieDetails,,,2020-10-06 21:42:27
Manuel,tvui,movieDetails,,,2020-10-06 21:30:03
Manuel,tvui,playback,,,2020-10-06 21:30:03
Manuel,tvui,movieDetails,,,2020-10-06 21:30:00
Manuel,tvui,browseTitles,,,2020-10-06 21:30:00
Manuel,tvui,movieDetails,,,2020-10-06 21:29:54
Manuel,tvui,playback,,,2020-10-06 21:29:54
Manuel,tvui,movieDetails,,,2020-10-06 21:29:54
Manuel,tvui,browseTitles,,,2020-10-06 21:29:54
Manuel,tvui,movieDetails,,,2020-10-06 21:29:29
Manuel,tvui,playback,,,2020-10-06 21:29:29
Manuel,tvui,playback,,,2020-10-06 21:29:29
Manuel,tvui,playback,,,2020-10-06 21:29:29
Manuel,tvui,browseTitles,,,2020-10-06 21:29:14
Manuel,tvui,movieDetails,,,2020-10-06 21:29:14
Manuel,tvui,search,,,2020-10-06 21:29:10
Manuel,tvui,browseTitles,,,2020-10-06 21:29:10
